"lat";"lon";"weight"
48.7854;-128.7217;0
48.7861;-128.8018;0
48.7458;-128.7582;0
60.9609;-82.9297;0
53.8219;-131.6676;0
48.6575;-128.7106;0
50.7115;-130.4766;0
50.7019;-130.4833;0
48.7665;-128.8211;0
48.7876;-128.686;0
48.8296;-128.6796;0
48.8455;-128.712;0
47.7483;-69.742;0
52.3624;-132.4626;0
48.7513;-123.5546;0
48.7828;-128.7358;0
52.7039;-132.2642;0
49.2206;-127.9548;0
52.364;-132.0343;0
49.3523;-128.194;0
48.6039;-123.0967;0
48.6093;-123.1096;0
48.6072;-123.0914;0
48.5962;-123.0631;0
52.6359;-132.0227;0
50.544;-130.347;0
48.5936;-123.0768;0
48.918;-128.5633;0
53.506;-133.2466;0
49.8013;-66.8394;0
59.8712;-141.3676;0
47.4564;-70.3852;0
76.5002;-91.56;0
76.5002;-91.56;0
76.5002;-91.56;0
52.0899;-131.9594;0
45.6908;-76.4646;0
49.4265;-120.6536;0
50.565;-130.2904;0
47.6631;-123.2872;0
59.2452;-134.5058;0
46.9988;-78.4763;0
46.5138;-72.2725;0
71.1823;-95.6158;0
71.1711;-95.5271;0
68.8093;-68.4291;0
52.4716;-131.8984;0
48.8981;-121.992;0
49.1888;-130.2853;0
55.2048;-136.1495;0
49.2649;-122.4305;0
52.4137;-131.7413;0
57.2358;-126.6813;0
49.2382;-126.1118;0
49.4067;-127.3788;0
59.6223;-138.7226;0
48.182;-90.9739;0
43.4888;-79.4459;0
60.674;-124.6993;0
52.8934;-132.5261;0
52.5261;-132.1275;0
52.5268;-132.134;0
52.6946;-132.2254;0
55.1459;-134.9207;0
59.9989;-71.0223;0
50.1668;-65.2077;0
47.3756;-70.1372;0
52.5288;-132.1273;0
60.012;-70.8465;0
52.5201;-132.152;0
52.5194;-132.1541;0
49.7081;-127.349;0
56.3607;-125.6663;0
59.0728;-136.7598;0
52.5168;-132.1552;0
52.516;-132.1564;0
49.9896;-123.4392;0
52.5175;-132.1668;0
52.53;-132.1306;0
45.4597;-76.9758;0
52.542;-132.1526;0
52.5153;-132.1518;0
48.4024;-122.2914;0
54.8434;-142.2086;0
52.5159;-132.1713;0
49.5817;-125.6222;0
52.4182;-131.787;0
52.4135;-131.8053;0
58.9331;-139.3522;0
50.5314;-130.2768;0
48.8092;-68.6763;0
52.5227;-132.1529;0
52.5259;-132.1393;0
47.5239;-70.2859;0
43.2146;-79.8026;0
59.9516;-140.9623;0
49.7228;-124.1996;0
49.9949;-123.4531;0
44.2898;-75.481;0
49.2513;-127.9782;0
49.2612;-127.9874;0
52.6886;-132.2648;0
52.5264;-132.1557;0
52.5331;-132.1514;0
52.5309;-132.1441;0
52.5301;-132.1374;0
48.2067;-124.7796;0
59.9514;-140.6109;0
49.3821;-122.7663;0
72.1352;-77.5603;0
51.0146;-130.3544;0
48.4759;-125.1664;0
71.0112;-125.9289;0
52.5307;-132.1503;0
52.5969;-131.9622;0
43.9773;-74.2584;0
52.0791;-90.9101;0
71.2039;-95.56;0
52.6793;-132.3924;0
47.494;-70.0897;0
49.001;-125.3674;0
69.8828;-129.953;0
63.3882;-131.4121;0
53.2163;-131.8965;0
47.3413;-70.2008;0
54.5988;-132.4895;0
48.3996;-122.3737;0
52.7537;-132.333;0
46.5031;-76.3785;0
49.5906;-66.8478;0
48.9759;-129.3821;0
47.7854;-66.2176;0
52.487;-131.9159;0
62.3095;-124.377;0
62.3468;-124.5001;0
50.5273;-130.3221;0
44.0079;-74.3232;0
49.4111;-66.7875;0
48.8599;-128.9273;0
52.495;-131.7775;0
50.56;-130.2235;0
48.975;-125.9308;0
46.9961;-76.6138;0
49.3321;-127.8621;0
47.4513;-70.0261;0
46.8645;-121.9684;0
51.1254;-130.7754;0
48.5362;-123.4674;0
58.2125;-136.8141;0
53.2355;-132.7715;0
49.8932;-123.9076;0
51.7354;-131.2347;0
46.7252;-78.3542;0
52.7923;-116.1621;0
51.5336;-131.5291;0
51.613;-131.4066;0
51.6412;-131.8996;0
51.6148;-131.4204;0
51.6962;-131.2773;0
51.595;-131.3775;0
48.9176;-128.1181;0
60.0429;-140.718;0
53.4841;-133.1841;0
47.3885;-70.1262;0
47.959;-125.5066;0
50.4967;-125.1416;0
59.899;-139.1577;0
47.7849;-114.414;0
48.8233;-122.304;0
49.8725;-123.6429;0
48.8274;-122.3048;0
48.8084;-122.9158;0
50.5332;-130.2612;0
49.1175;-67.3135;0
58.8692;-134.0016;0
49.297;-127.9586;0
49.4303;-128.349;0
48.0006;-121.8497;0
53.2061;-133.2896;0
49.2611;-67.7013;0
47.5958;-70.2876;0
50.81;-130.648;0
50.8539;-130.6286;0
47.4839;-70.1415;0
49.5357;-65.7056;0
47.1226;-76.4504;0
50.6229;-130.4074;0
59.9185;-137.7525;0
50.2977;-130.1775;0
50.3122;-130.2247;0
45.1842;-56.5674;0
50.8447;-130.5555;0
60.342;-141.0082;0
47.4721;-70.3089;0
50.8326;-130.6083;0
50.2739;-130.2535;0
74.5329;-96.8191;0
50.8408;-130.5824;0
50.8193;-130.622;0
50.8092;-130.6156;0
50.808;-130.63;0
50.8167;-130.63;0
49.0146;-122.5205;0
50.8272;-130.6059;0
